date,GPR,sgpr_agri_food,sgpr_manufacturing,sgpr_construction,sgpr_services,year
2007-02-01,96.16935729980469,0.9464026283472776,1.031815176233649,0.7897689667344093,1.212838274538517,2007
2007-03-01,87.33650207519531,0.8665934135019779,0.8900422190502284,0.7286763316392899,1.0657202367484568,2007
2007-04-01,76.6133804321289,0.7165245678275823,0.7588936522975563,0.5792256754636764,0.9109992828965187,2007
2007-05-01,92.5995864868164,0.8451979430019856,0.8745944349467754,0.6964957985281944,1.04837769895792,2007
2007-06-01,97.9723129272461,0.9382489139586687,0.9794268606603145,0.7896722450852396,1.1619539649784565,2007
2007-07-01,112.34625244140625,1.079597356915474,1.0678471192717551,0.910885990858078,1.319587005674839,2007
2007-08-01,83.17320251464844,0.7862697174400092,0.830164729245007,0.6352239157259465,0.9998413085937499,2007
2007-09-01,94.4888687133789,0.8784096449241042,0.9644644431024789,0.7178115524351597,1.1360109865665433,2007
2007-10-01,101.47301483154297,0.8996538926661014,1.0080380122363568,0.7284247252345085,1.1807260225713252,2007
2007-11-01,89.79544830322266,0.8311513180285691,0.8780670503526926,0.692201677262783,1.0501213335990907,2007
2007-12-01,94.96749114990234,0.9463689676672221,0.9878803580254315,0.809034638106823,1.1692537021636966,2007
2008-01-01,81.49982452392578,0.6915579262003303,0.7729579856619239,0.5360134425759315,0.9173543323576449,2008
2008-02-01,80.75146484375,0.6827818536758423,0.7469247606024146,0.5455007772147655,0.8850322587043046,2008
2008-03-01,77.63613891601562,0.6248838802427054,0.6872793743759394,0.4917322081327438,0.8136495981365442,2008
2008-04-01,71.9048080444336,0.6061249102838335,0.6725677884556353,0.47162401527166364,0.8007030821591614,2008
2008-05-01,72.57379913330078,0.5925812895409761,0.6812089817970991,0.4628606317192316,0.7998473594337703,2008
2008-06-01,87.54842376708984,0.8021594588831067,0.8544820067286492,0.6503131614625455,0.994421988427639,2008
2008-07-01,89.73957061767578,0.8656164423003793,0.9464645501971245,0.7292843323945999,1.1047590810060501,2008
2008-08-01,88.55410766601562,0.8061330087482931,0.8820114124566315,0.7214454966783523,1.025292804688215,2008
2008-09-01,88.54255676269531,0.7981188629567624,0.8892468963563442,0.6704094308614732,1.038696874976158,2008
2008-10-01,64.15979766845703,0.5845360719412567,0.6243986190110445,0.49575131684541707,0.7446110492944717,2008
2008-11-01,79.08097076416016,0.6888093041628599,0.7452020514383911,0.5675767093896866,0.9121840772032737,2008
2008-12-01,92.3664321899414,0.7492076483741402,0.7966367100179195,0.5926022582501173,1.0114098170399666,2008
2009-01-01,85.36947631835938,0.7114274748042224,0.7481599170714616,0.5708213715255261,0.9153045972436666,2009
2009-02-01,67.45267486572266,0.5748721371591091,0.6615899539180099,0.45336942702531813,0.7826037913560866,2009
2009-03-01,72.64462280273438,0.6360072278231382,0.6858996768668293,0.5082575851678849,0.8262438616156577,2009
2009-04-01,85.6884994506836,0.8197657464444636,0.9001951843500138,0.6896327251195908,1.072874475121498,2009
2009-05-01,89.68086242675781,0.7047252838686108,0.8300489396229386,0.5282292998582124,0.9923763334751129,2009
2009-06-01,81.10958862304688,0.6893024968355894,0.7664222555607558,0.5599548743665218,0.9017860455811023,2009
2009-07-01,83.43962097167969,0.7233684888482094,0.8038361563533543,0.5805441018939018,0.9556778207421303,2009
2009-08-01,73.37187957763672,0.6035531383566559,0.6969830329902469,0.47067061819136136,0.8231033915281296,2009
2009-09-01,92.8399887084961,1.0310709869861603,1.0864600298181177,0.9300808161497116,1.2539170673489572,2009
2009-10-01,90.57640075683594,0.8202475016564131,0.9042386959865688,0.6677690067887305,1.0748524498939513,2009
